Raw.Score,Raw.Score.par.,Raw.Score.par.err.,Prob.mod_sev,Prob.sev,wt,country,wave,hhid
2,-1.067980817,0.596132647,0.102313721,0.000000395,5860.0864,1,0,2
NA,NA,NA,NA,NA,6094.793,1,4,2
6,1.01091217,0.665694606,0.976536878,0.097001395,6094.793,1,5,2
5,0.402958933,0.591196231,0.886669419,0.00637204,6094.793,1,6,2
2,-1.067980817,0.596132647,0.102313721,0.000000395,6094.793,1,8,2
1,-1.747231604,0.756912002,0.02895151,0.00000085,7373.855,1,0,4
NA,NA,NA,NA,NA,7536.9722,1,4,4
7,1.833086591,0.83438748,0.994924051,0.479712924,7536.9722,1,5,4
6,1.01091217,0.665694606,0.976536878,0.097001395,7536.9722,1,6,4
3,-0.568211215,0.556479815,0.322480453,0.00000563,8227.9004,1,0,7
NA,NA,NA,NA,NA,8436.0225,1,4,7
5,0.402958933,0.591196231,0.886669419,0.00637204,8436.0225,1,5,7
6,1.01091217,0.665694606,0.976536878,0.097001395,8436.0225,1,6,7
2,-1.067980817,0.596132647,0.102313721,0.000000395,4227.6768,1,0,10
NA,NA,NA,NA,NA,5005.3872,1,4,10
6,1.01091217,0.665694606,0.976536878,0.097001395,5005.3872,1,5,10
5,0.402958933,0.591196231,0.886669419,0.00637204,5005.3872,1,6,10
8,2.802268842,0.986077689,0.99920582,0.826344533,5005.3872,1,8,10
3,-0.568211215,0.556479815,0.322480453,0.00000563,5005.3872,1,9,10
4,-0.075879615,0.560002271,0.663226332,0.000246386,5005.3872,1,10,10
0,-2.239673802,0.986077689,0,0,4918.9482,1,0,11
NA,NA,NA,NA,NA,5009.7188,1,4,11
4,-0.075879615,0.560002271,0.663226332,0.000246386,5009.7188,1,5,11
6,1.01091217,0.665694606,0.976536878,0.097001395,5009.7188,1,6,11
1,-1.747231604,0.756912002,0.02895151,0.00000085,12665.019,1,0,12
NA,NA,NA,NA,NA,12878.549,1,4,12
6,1.01091217,0.665694606,0.976536878,0.097001395,12878.549,1,5,12
2,-1.067980817,0.596132647,0.102313721,0.000000395,13997.995,1,0,13
NA,NA,NA,NA,NA,13680.712,1,4,13
8,2.802268842,0.986077689,0.99920582,0.826344533,13680.712,1,5,13
8,2.802268842,0.986077689,0.99920582,0.826344533,13680.712,1,6,13
7,1.833086591,0.83438748,0.994924051,0.479712924,13680.712,1,8,13
8,2.802268842,0.986077689,0.99920582,0.826344533,13680.712,1,9,13
8,2.802268842,0.986077689,0.99920582,0.826344533,13680.712,1,10,13
NA,NA,NA,NA,NA,13680.712,1,11,13
0,-2.239673802,0.986077689,0,0,6064.4658,1,0,14
NA,NA,NA,NA,NA,5576.4204,1,4,14
4,-0.075879615,0.560002271,0.663226332,0.000246386,5576.4204,1,5,14
5,0.402958933,0.591196231,0.886669419,0.00637204,5576.4204,1,6,14
0,-2.239673802,0.986077689,0,0,6064.4658,1,0,16
NA,NA,NA,NA,NA,6922.7305,1,4,16
1,-1.747231604,0.756912002,0.02895151,0.00000085,6922.7305,1,5,16
6,1.01091217,0.665694606,0.976536878,0.097001395,6922.7305,1,6,16
3,-0.568211215,0.556479815,0.322480453,0.00000563,6922.7305,1,8,16
1,-1.747231604,0.756912002,0.02895151,0.00000085,6922.7305,1,9,16
4,-0.075879615,0.560002271,0.663226332,0.000246386,6922.7305,1,10,16
NA,NA,NA,NA,NA,6922.7305,1,11,16
0,-2.239673802,0.986077689,0,0,14735.887,1,0,17
NA,NA,NA,NA,NA,58573.219,1,4,17
0,-2.239673802,0.986077689,0,0,58573.219,1,5,17
8,2.802268842,0.986077689,0.99920582,0.826344533,58573.219,1,6,17
4,-0.075879615,0.560002271,0.663226332,0.000246386,58573.219,1,8,17
2,-1.067980817,0.596132647,0.102313721,0.000000395,58573.219,1,9,17
4,-0.075879615,0.560002271,0.663226332,0.000246386,58573.219,1,10,17
NA,NA,NA,NA,NA,58573.219,1,11,17
NA,NA,NA,NA,NA,58573.219,1,12,17
NA,NA,NA,NA,NA,58573.219,1,13,17
NA,NA,NA,NA,NA,58573.219,1,14,17
NA,NA,NA,NA,NA,58573.219,1,16,17
1,-1.747231604,0.756912002,0.02895151,0.00000085,5109.7461,1,0,18
NA,NA,NA,NA,NA,5600.7881,1,4,18
4,-0.075879615,0.560002271,0.663226332,0.000246386,5600.7881,1,5,18
6,1.01091217,0.665694606,0.976536878,0.097001395,5600.7881,1,6,18
7,1.833086591,0.83438748,0.994924051,0.479712924,5600.7881,1,8,18
8,2.802268842,0.986077689,0.99920582,0.826344533,5600.7881,1,9,18
5,0.402958933,0.591196231,0.886669419,0.00637204,5600.7881,1,10,18
NA,NA,NA,NA,NA,5600.7881,1,11,18
0,-2.239673802,0.986077689,0,0,6064.4658,1,0,20
NA,NA,NA,NA,NA,6696.5137,1,4,20
0,-2.239673802,0.986077689,0,0,6696.5137,1,5,20
2,-1.067980817,0.596132647,0.102313721,0.000000395,6696.5137,1,6,20
3,-0.568211215,0.556479815,0.322480453,0.00000563,6696.5137,1,8,20
1,-1.747231604,0.756912002,0.02895151,0.00000085,6696.5137,1,9,20
0,-2.239673802,0.986077689,0,0,6696.5137,1,10,20
NA,NA,NA,NA,NA,6696.5137,1,11,20
0,-2.239673802,0.986077689,0,0,8368.5283,1,0,22
NA,NA,NA,NA,NA,9131.9502,1,4,22
3,-0.568211215,0.556479815,0.322480453,0.00000563,9131.9502,1,5,22
6,1.01091217,0.665694606,0.976536878,0.097001395,9131.9502,1,6,22
6,1.01091217,0.665694606,0.976536878,0.097001395,9131.9502,1,8,22
1,-1.747231604,0.756912002,0.02895151,0.00000085,9131.9502,1,9,22
1,-1.747231604,0.756912002,0.02895151,0.00000085,9131.9502,1,10,22
NA,NA,NA,NA,NA,9131.9502,1,11,22
0,-2.239673802,0.986077689,0,0,4885.6826,1,0,29
NA,NA,NA,NA,NA,5029.8101,1,4,29
8,2.802268842,0.986077689,0.99920582,0.826344533,5029.8101,1,5,29
6,1.01091217,0.665694606,0.976536878,0.097001395,5029.8101,1,6,29
4,-0.075879615,0.560002271,0.663226332,0.000246386,5029.8101,1,8,29
1,-1.747231604,0.756912002,0.02895151,0.00000085,5029.8101,1,9,29
4,-0.075879615,0.560002271,0.663226332,0.000246386,5029.8101,1,10,29
NA,NA,NA,NA,NA,5029.8101,1,11,29
0,-2.239673802,0.986077689,0,0,4119.4492,1,0,31
NA,NA,NA,NA,NA,5107.6055,1,4,31
3,-0.568211215,0.556479815,0.322480453,0.00000563,5107.6055,1,5,31
5,0.402958933,0.591196231,0.886669419,0.00637204,5107.6055,1,6,31
6,1.01091217,0.665694606,0.976536878,0.097001395,5107.6055,1,8,31
4,-0.075879615,0.560002271,0.663226332,0.000246386,5107.6055,1,9,31
3,-0.568211215,0.556479815,0.322480453,0.00000563,5107.6055,1,10,31
NA,NA,NA,NA,NA,5107.6055,1,11,31
0,-2.239673802,0.986077689,0,0,4164.7212,1,0,34
NA,NA,NA,NA,NA,4640.5625,1,4,34
6,1.01091217,0.665694606,0.976536878,0.097001395,4640.5625,1,5,34
4,-0.075879615,0.560002271,0.663226332,0.000246386,4640.5625,1,6,34
4,-0.075879615,0.560002271,0.663226332,0.000246386,4640.5625,1,8,34
0,-2.239673802,0.986077689,0,0,4640.5625,1,9,34
0,-2.239673802,0.986077689,0,0,4640.5625,1,10,34
NA,NA,NA,NA,NA,4640.5625,1,11,34
0,-2.239673802,0.986077689,0,0,5862.2622,1,0,35
NA,NA,NA,NA,NA,7630.7837,1,4,35
8,2.802268842,0.986077689,0.99920582,0.826344533,7630.7837,1,5,35
8,2.802268842,0.986077689,0.99920582,0.826344533,7630.7837,1,6,35
7,1.833086591,0.83438748,0.994924051,0.479712924,7630.7837,1,8,35
2,-1.067980817,0.596132647,0.102313721,0.000000395,7630.7837,1,9,35
8,2.802268842,0.986077689,0.99920582,0.826344533,7630.7837,1,10,35
NA,NA,NA,NA,NA,7630.7837,1,11,35
0,-2.239673802,0.986077689,0,0,5862.2622,1,0,36
NA,NA,NA,NA,NA,6093.8027,1,4,36
