Worried,Healthy,Fewfood,Skipped,Ateless,Runout,Hungry,Whlday,WT,wtperson,Urban,Region,country,wave,hhid
0,1,1,0,0,0,0,0,5860.0864,NA,0,1001,1,0,2
,,,,,1,0,0,6094.793,NA,0,1001,1,4,2
1,1,1,1,1,1,0,0,6094.793,NA,0,1001,1,5,2
1,1,1,0,0,1,0,1,6094.793,NA,0,1001,1,6,2
0,1,0,0,0,1,0,0,6094.793,NA,0,1001,1,8,2
0,1,0,0,0,0,0,0,7373.855,NA,0,1001,1,0,4
,,,,,1,0,0,7536.9722,NA,0,1001,1,4,4
1,1,1,1,1,1,1,0,7536.9722,NA,0,1001,1,5,4
1,1,1,1,1,1,0,0,7536.9722,NA,0,1001,1,6,4
0,0,1,1,1,0,0,0,8227.9004,NA,0,1001,1,0,7
,,,,,1,0,0,8436.0225,NA,0,1001,1,4,7
1,1,1,0,1,1,0,0,8436.0225,NA,0,1001,1,5,7
1,1,1,1,1,1,0,0,8436.0225,NA,0,1001,1,6,7
0,1,1,0,0,0,0,0,4227.6768,NA,0,1001,1,0,10
,,,,,1,0,0,5005.3872,NA,0,1001,1,4,10
1,1,1,0,1,1,0,1,5005.3872,NA,0,1001,1,5,10
1,1,1,1,0,1,0,0,5005.3872,NA,0,1001,1,6,10
1,1,1,1,1,1,1,1,5005.3872,NA,0,1001,1,8,10
1,1,0,0,0,1,0,0,5005.3872,NA,0,1001,1,9,10
1,1,1,0,0,1,0,0,5005.3872,NA,0,1001,1,10,10
0,0,0,0,0,0,0,0,4918.9482,NA,0,1001,1,0,11
,,,,,1,0,0,5009.7188,NA,0,1001,1,4,11
1,0,1,0,1,1,0,0,5009.7188,NA,0,1001,1,5,11
1,1,1,1,1,1,0,0,5009.7188,NA,0,1001,1,6,11
1,0,0,0,0,0,0,0,12665.019,NA,0,1001,1,0,12
,,,,,1,0,0,12878.549,NA,0,1001,1,4,12
1,1,1,1,1,1,0,0,12878.549,NA,0,1001,1,5,12
1,0,1,0,0,0,0,0,13997.995,NA,0,1001,1,0,13
,,,,,1,1,1,13680.712,NA,0,1001,1,4,13
1,1,1,1,1,1,1,1,13680.712,NA,0,1001,1,5,13
1,1,1,1,1,1,1,1,13680.712,NA,0,1001,1,6,13
1,1,1,1,1,1,0,1,13680.712,NA,0,1001,1,8,13
1,1,1,1,1,1,1,1,13680.712,NA,0,1001,1,9,13
1,1,1,1,1,1,1,1,13680.712,NA,0,1001,1,10,13
,,,,,,,,13680.712,NA,0,1001,1,11,13
0,0,0,0,0,0,0,0,6064.4658,NA,0,1001,1,0,14
,,,,,1,0,0,5576.4204,NA,0,1001,1,4,14
1,0,1,0,0,1,1,0,5576.4204,NA,0,1001,1,5,14
1,1,1,1,0,1,0,0,5576.4204,NA,0,1001,1,6,14
0,0,0,0,0,0,0,0,6064.4658,NA,0,1001,1,0,16
,,,,,1,0,0,6922.7305,NA,0,1001,1,4,16
0,0,0,0,0,1,0,0,6922.7305,NA,0,1001,1,5,16
1,1,1,1,1,1,0,0,6922.7305,NA,0,1001,1,6,16
0,1,1,0,0,1,0,0,6922.7305,NA,0,1001,1,8,16
0,1,0,0,0,0,0,0,6922.7305,NA,0,1001,1,9,16
0,1,1,1,0,1,0,0,6922.7305,NA,0,1001,1,10,16
,,,,,,,,6922.7305,NA,0,1001,1,11,16
0,0,0,0,0,0,0,0,14735.887,NA,0,1001,1,0,17
,,,,,0,0,0,58573.219,NA,0,1001,1,4,17
0,0,0,0,0,0,0,0,58573.219,NA,0,1001,1,5,17
1,1,1,1,1,1,1,1,58573.219,NA,0,1001,1,6,17
1,1,0,0,1,1,0,0,58573.219,NA,0,1001,1,8,17
0,1,0,0,0,1,0,0,58573.219,NA,0,1001,1,9,17
1,1,1,0,0,1,0,0,58573.219,NA,0,1001,1,10,17
,,,,,,,,58573.219,NA,0,1001,1,11,17
,,,,,,,,58573.219,NA,0,1001,1,12,17
,,,,,,,,58573.219,NA,0,1001,1,13,17
,,,,,,,,58573.219,NA,0,1001,1,14,17
,,,,,,,,58573.219,NA,0,1001,1,16,17
1,0,0,0,0,0,0,0,5109.7461,NA,0,1001,1,0,18
,,,,,1,0,0,5600.7881,NA,0,1001,1,4,18
1,1,1,0,0,1,0,0,5600.7881,NA,0,1001,1,5,18
1,1,1,1,1,1,0,0,5600.7881,NA,0,1001,1,6,18
1,1,1,1,1,1,0,1,5600.7881,NA,0,1001,1,8,18
1,1,1,1,1,1,1,1,5600.7881,NA,0,1001,1,9,18
1,1,1,1,0,1,0,0,5600.7881,NA,0,1001,1,10,18
,,,,,,,,5600.7881,NA,0,1001,1,11,18
0,0,0,0,0,0,0,0,6064.4658,NA,0,1001,1,0,20
,,,,,0,0,0,6696.5137,NA,0,1001,1,4,20
0,0,0,0,0,0,0,0,6696.5137,NA,0,1001,1,5,20
0,0,1,0,0,1,0,0,6696.5137,NA,0,1001,1,6,20
0,1,1,0,0,1,0,0,6696.5137,NA,0,1001,1,8,20
0,0,0,0,0,1,0,0,6696.5137,NA,0,1001,1,9,20
0,0,0,0,0,0,0,0,6696.5137,NA,0,1001,1,10,20
,,,,,,,,6696.5137,NA,0,1001,1,11,20
0,0,0,0,0,0,0,0,8368.5283,NA,0,1001,1,0,22
,,,,,1,0,0,9131.9502,NA,0,1001,1,4,22
1,0,0,0,1,1,0,0,9131.9502,NA,0,1001,1,5,22
1,1,1,1,1,1,0,0,9131.9502,NA,0,1001,1,6,22
1,1,1,1,1,1,0,0,9131.9502,NA,0,1001,1,8,22
0,1,0,0,0,0,0,0,9131.9502,NA,0,1001,1,9,22
0,0,0,0,0,1,0,0,9131.9502,NA,0,1001,1,10,22
,,,,,,,,9131.9502,NA,0,1001,1,11,22
0,0,0,0,0,0,0,0,4885.6826,NA,0,1001,1,0,29
